id,title,description,category,hand,department,priority,sla_hours,urgency,resolution_steps,citations
syn-0001,Suspected hardware tampering — Kiran (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P2,48,low,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0001 | KB-INF-3
syn-0002,Printer paper jam Floor 6 — Sree (Hardware) resolved,"Printer paper jammed in 6nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P0,4,high,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0002 | KB-INF-1
syn-0003,Printer paper jam on floor 4 — Sree (Hardware) resolved,"Printer paper jammed in 4nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P2,48,low,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0003 | KB-INF-1
syn-0004,Suspected hardware tampering — Kiran (Hardware) resolved,Workstation case seal broken; unknown USB device found inserted overnight.,Infrastructure,3,Hardware,P1,24,medium,Isolate device from network immediately. | Escalate to SecOps for forensic imaging. | Do not power off until specialist advises.,SYN-0004 | KB-INF-3
syn-0005,Printer paper jam on floor 2 — Vikram (Hardware) resolved,"Printer paper jammed in 2nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0005 | KB-INF-1
syn-0006,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 4%. No charging light.,Infrastructure,1,Hardware,P0,4,high,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0006 | KB-INF-1
syn-0007,Laptop battery not charging — Kiran (Hardware) resolved,Laptop charger plugged in but battery stuck at 4%. No charging light.,Infrastructure,1,Hardware,P0,4,high,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0007 | KB-INF-1
syn-0008,Laptop fan loud after update — Vikram (Hardware) resolved,Laptop fan running loud and hot after Windows update build 8.,Infrastructure,2,Hardware,P2,48,low,Check Task Manager for runaway CPU processes. | Clear dust from vents; verify thermal paste if under warranty. | Rollback recent kernel/driver update if issue started immediately.,SYN-0008 | KB-INF-2
syn-0009,Laptop battery not charging — Sree (Hardware) resolved,Laptop charger plugged in but battery stuck at 2%. No charging light.,Infrastructure,1,Hardware,P2,48,low,"Reseat power adapter and try another wall outlet. | Hard-reset: shut down, hold power 30 seconds, reboot. | Update battery driver from vendor support site.",SYN-0009 | KB-INF-1
syn-0010,Printer paper jam on floor 2 — Kiran (Hardware) resolved,"Printer paper jammed in 2nd floor office printer. Toner OK, red jam light on.",Infrastructure,1,Hardware,P1,24,medium,Open the front panel and remove jammed sheets gently. | Check the rear duplexer for torn paper fragments. | Run a test print from the device panel.,SYN-0010 | KB-INF-1
